h2,ch4,c2h6,c2h4,c2h2,act
1458,9,1812,0.0001,0.0001,1
2240,157,90,157,45,1
73,8,4,2,12,1
235,16,0.0001,35,0.0001,1
9340,995,60,6,7,1
33046,619,58,2,0.0001,1
8266,1061,22,0.0001,0.0001,1
230,15.9,16.3,1.9,2.4,1
109,16,0.0001,0.0001,0.0001,1
113,21,48,0.0001,4,1
1309,124,113,6,0.0001,1
1549.2,10.2,0.0001,53.19,0.0001,1
101,8.1,0.0001,3,0.0001,1
36036,4704,554,5,10,1
160,10,3,1,1,1
1076,95,4,71,231,1
407,28,15,21,0.0001,1
2240,560,380,450,940,1
92600,10200,1,2,0.0001,1
2587.2,112.25,4.704,1.4,0.0001,1
195.9,14.5,11.6,2.4,0.0001,1
180.85,0.574,0.234,0.188,0.0001,1
4480,560,380,403,896,1
1651,90,33,45,2,1
980,73,58,12,0.0001,1
6600,1000,38,2,19,1
56,61,75,32,31,1
2240,168,25,0.0001,0.0001,1
92600,10200,0.0001,0.0001,0.0001,1
24.3,15.7,6.4,11.2,29.8,1
485,35,29,6,0.0001,1
109,4,11,9,0.0001,1
16000,4000,500,8500,16000,1
2031,149,20,3,0.0001,1
870,77,73,54,14,1
106,4,2,1,0.0001,1
32930,2397,157,0.0001,0.0001,1
197,12,6.6,15,0.0001,1
117,17,1,3,1,1
160,24.7,38.5,0.0001,0.0001,1
134,13,156,0.0001,0.0001,1
166,21,38,6,0.0001,1
183,6,0.0001,5,0.0001,1
2240,157,90,45,45,1
6454,2313,121,2159,6432,2
240,20,5,28,96,2
65.2,20,3.9,8.13,25.1,2
143,5.8,16,10.6,26.3,2
30.1,17.1,2.2,5.5,30.1,2
120,25,1,8,40,2
137,6,11.4,6.4,16.5,2
23,63,54,10,0.3,2
4879,262,15,332,1827,2
301,5.78,4.7,9.7,5,2
716,7.1,3.3,20,6.8,2
289,13.4,18.2,49.8,36.3,2
179,29,10,17,33,2
2177,1049,207,440,705,2
7600,1230,318,836,1560,2
543,120,41,411,1880,2
186,38.3,13,37,85.9,2
4.1,3.5,0.68,1.2,5.2,2
210,22,6,6,7,2
254,5.2,0.0001,9.3,88,2
385,28.8,50,82.3,171,2
843,133,12,168,385,2
208,7.6,27.5,9.7,14.4,2
65.5,23.3,1,2.1,26,2
35,6,3,26,482,2
3559,187,22,230,1140,2
10092,5399,530,6500,37565,2
1900,285,31,957,7730,2
307,22,2,33,109,2
225,4.7,0.0001,8.7,89,2
78,20,11,13,28,2
266,30.2,4.9,26.2,60.2,2
645,86,13,110,317,2
119,8,23.3,7.9,12.3,2
57,24,2,27,30,2
14.2,4,1.4,1.5,9.51,2
818,94,49,121,978,2
115,25.5,110,12.2,8.6,2
205,20,8,0.0001,6,2
101.72,27.65,7.13,16.92,53.87,2
135,27,24,9,13,2
47.5,22.9,4.5,9.6,15.3,2
6870,1028,79,900,5500,2
119,8,20,0.0001,21,2
60,10,4,4,4,2
385,60,8,53,159,2
5.26,0.0001,0.0001,28.2,66.4,2
2510,202,139,208,1730,2
650,81,170,51,270,2
153,18,9,0.0001,278,2
1790,580,321,336,619,2
256,8,37.4,15,21.1,2
60,10,0.0001,11,39,2
151,13.5,50.7,5,9.2,2
9,3.9,0.8,4,13,2
274,27,5,33,97,2
305,100,33,161,541,2
176,652.9,47.7,75.7,68.7,2
87,34,23,15,60,3
220,77,22,170,240,3
274,27,5,33,97,3
155,49,69.3,42,10.7,3
137,67,7,53,104,3
63,22,15,11,76,3
292,346,32,313,196,3
217,286,14,458,884,3
13500,6110,212,4510,4040,3
88.5,22.8,108.4,12,7.5,3
50,42,98,10,33,3
60,5,2,21,32,3
25,9,6,5,44,3
37.9,7.7,2.16,18.4,33.7,3
18.34,16.26,3.38,17.95,16.42,3
1084,188,8,166,769,3
497,230,51,151,122,3
32.4,5.5,1.4,12.6,13.2,3
19,12,2,8,63,3
210,43,12,102,187,3
26,68,93,31,59,3
114,41,27,15,42,3
7150,1440,97,1210,1760,3
8,0.0001,0.0001,43,101,3
1607,615,80,916,1294,3
46,20,14,10,42,3
1027,185,17,271,399,3
37,11.8,15.5,43.6,83.3,3
200,48,14,117,131,3
392,153,82,45,236,3
12.4,6.5,15.3,69,15,3
71,151,9,89,412,3
127,24,0.0001,32,81,3
800,160,23,260,600,3
212,38,15,47,78,3
8200,3790,250,4620,277,3
2800,2800,234,3500,3600,3
195.7,58,16.4,91.6,96.9,3
235,39.45,9.63,210,257,3
441,207,43,224,261,3
110,62,90,140,250,3
88,21.8,79.2,41.2,41.5,3
531,111.9,22.7,122.5,169,3
9474,4066,353,6552,12997,3
152,116,7,131,414,3
150,130,9,55,30,3
75,15,7,14,250,3
43,19,3,0.0001,40,3
1114,719,188,1217,699,3
35,11,0.0001,7,146,3
629,402,16,298,1127,3
7940,2000,355,3120,5390,3
7020,1850,0.0001,2960,4410,3
151,51,16,12,19,3
2,41,133,9,21,3
75.5,30.2,2.33,30.3,18.2,3
17,42,192,12,20,3
156,55,103,13,16,3
21,34,5,47,62,3
64,18,1,4,122,3
25,28,27,15,80,3
2770,660,54,712,763,3
4419,3564,668,2861,2025,3
1500,395,28,395,323,3
10,15,0.0001,0.0001,35,3
1570,1110,175,1780,1830,3
22,14,19,6,56,3
1249,370,56,606,1371,3
1900,530,35,383,434,3
5900,1500,68,1200,2300,3
3700,1690,128,2810,3270,3
75,5,31,69,36,3
323,115,7,130,446,3
127,107,11,154,224,3
3090,5020,323,3800,2540,3
48,20,69,41,31,3
60,5,2,21,21,3
30,14,1,9,43,3
7020,1850,0.0001,2960,4410,3
1170,255,18,312,325,3
858,1324,208,2793,7672,3
14.3,92.6,83.9,16.7,26.8,3
57,148,197,72,42,3
260,215,35,334,277,3
215,84.8,87.7,1002,212,3
440,89,19,304,757,3
77,36,27,18,76,3
60,85,5,67,227,3
594,230,44,130,102,3
1820,405,35,365,634,3
