h2,ch4,c2h6,c2h4,c2h2,fault
137.0,6.0,11.4,6.4,16.5,2
180.0,175.0,75.0,50.0,4.0,5
0.0001,0.0001,9.0,57.0,0.0001,6
113.0,21.0,48.0,0.0001,4.0,1
185.0,302.0,27.0,33.0,0.0001,5
33046.0,619.0,58.0,2.0,0.0001,1
119.0,670.0,286.0,934.0,19.0,5
36.0,167.0,230.0,18.0,0.0001,4
41.0,65.0,22.0,58.0,0.0001,5
210.0,43.0,12.0,102.0,187.0,3
30.1,17.1,2.2,5.5,30.1,2
235.0,16.0,0.0001,35.0,0.0001,1
88.5,22.8,108.4,12.0,7.5,3
8.0,1.0,0.0001,60.0,0.0001,6
30.0,25.5,31.5,93.0,1.8,6
179.0,29.0,10.0,17.0,33.0,2
230.0,15.9,16.3,1.9,2.4,1
109.0,16.0,0.0001,0.0001,0.0001,1
18.0,63.0,20.0,51.0,0.0001,5
13.0,138.0,83.0,16.0,0.0001,4
10.0,56.0,72.0,70.0,0.0001,4
74.0,173.0,263.0,33.0,0.0001,4
6454.0,2313.0,121.0,2159.0,6432.0,2
54.0,143.0,23.0,101.0,0.0001,5
0.0001,153.0,130.0,677.0,13.0,6
290.0,966.0,299.0,1810.0,57.0,6
54.9,8.8,80.0,2.5,0.0001,4
274.0,27.0,5.0,33.0,97.0,3
200.0,700.0,250.0,740.0,1.0,5
186.0,38.3,13.0,37.0,85.9,2
92600.0,10200.0,1.0,2.0,0.0001,1
36036.0,4704.0,554.0,5.0,10.0,1
13.0,59.0,117.0,44.0,0.0001,4
18.34,16.26,3.38,17.95,16.42,3
35.1,50.6,16.1,93.0,1.1,6
59.0,119.0,36.0,70.0,0.0001,5
37.9,7.7,2.16,18.4,33.7,3
0.0001,106.0,170.0,871.0,6.0,6
101.0,8.1,0.0001,3.0,0.0001,1
43.0,116.0,65.0,139.0,0.0001,5
15.0,139.0,160.0,343.0,0.0001,5
63.0,22.0,15.0,11.0,76.0,3
2587.2,112.25,4.704,1.4,0.0001,1
1076.0,95.0,4.0,71.0,231.0,1
220.0,340.0,42.0,480.0,14.0,6
39.0,525.0,538.0,2925.0,16.0,6
155.0,49.0,69.3,42.0,10.7,3
156.0,240.0,54.0,399.0,0.98,6
32.4,5.5,1.4,12.6,13.2,3
0.0001,28.0,64.0,408.0,6.0,6
50.0,42.0,98.0,10.0,33.0,3
85.0,98.0,315.0,30.0,0.0001,4
220.0,77.0,22.0,170.0,240.0,3
217.0,286.0,14.0,458.0,884.0,3
23.51,61.33,45.21,98.03,1.01,5
1100.0,1600.0,221.0,2010.0,26.0,6
7600.0,1230.0,318.0,836.0,1560.0,2
290.0,1260.0,231.0,820.0,8.0,6
13500.0,6110.0,212.0,4510.0,4040.0,3
0.0001,153.0,395.0,11.7,0.0001,4
219.0,44.0,3.0,3.0,0.0001,4
60.0,5.0,2.0,21.0,32.0,3
16.0,98.0,35.0,64.0,0.0001,5
254.0,5.2,0.0001,9.3,88.0,2
292.0,346.0,32.0,313.0,196.0,3
2177.0,1049.0,207.0,440.0,705.0,2
73.0,8.0,4.0,2.0,12.0,1
407.0,28.0,15.0,21.0,0.0001,1
14.0,15.0,42.0,73.0,0.0001,5
65.2,20.0,3.9,8.13,25.1,2
2240.0,157.0,90.0,157.0,45.0,1
57.0,141.0,38.0,51.0,0.0001,5
23.0,63.0,54.0,10.0,0.3,2
425.0,17424.0,7299.0,37043.0,158.0,6
36.0,21.0,65.0,2.0,0.0001,4
112.0,68.0,136.0,9.0,0.0001,4
497.0,230.0,51.0,151.0,122.0,3
860.0,1670.0,30.0,2050.0,40.0,6
9340.0,995.0,60.0,6.0,7.0,1
39.4,65.2,103.9,8.1,0.0001,4
15.55,7.4,7.4,41.93,6.35,6
240.0,20.0,5.0,28.0,96.0,2
15.0,159.0,29.0,87.0,0.0001,5
543.0,120.0,41.0,411.0,1880.0,2
1270.0,3450.0,520.0,1390.0,8.0,5
1084.0,188.0,8.0,166.0,769.0,3
19.0,12.0,2.0,8.0,63.0,3
2240.0,560.0,380.0,450.0,940.0,1
210.0,22.0,6.0,6.0,7.0,2
25.0,49.0,42.0,58.0,0.0001,5
110.6,458.8,242.6,406.4,0.0001,5
716.0,7.1,3.3,20.0,6.8,2
289.0,13.4,18.2,49.8,36.3,2
1458.0,9.0,1812.0,0.0001,0.0001,1
120.0,25.0,1.0,8.0,40.0,2
89.0,281.0,145.0,1216.0,22.0,6
24.0,47.0,113.0,10.0,0.0001,4
25.0,9.0,6.0,5.0,44.0,3
9.0,56.0,135.0,7.0,1.0,4
137.0,369.0,144.0,1242.0,16.0,6
72.0,442.0,221.0,461.0,0.7,5
7.0,15.0,78.0,58.0,0.0001,4
301.0,5.78,4.7,9.7,5.0,2
137.0,67.0,7.0,53.0,104.0,3
87.0,34.0,23.0,15.0,60.0,3
8800.0,64064.0,72128.0,95650.0,0.0001,6
95.0,110.0,160.0,50.0,0.0001,4
143.0,5.8,16.0,10.6,26.3,2
121.0,73.0,179.0,11.0,0.0001,4
820.0,1740.0,951.0,867.0,128.0,4
1549.2,10.2,0.0001,53.19,0.0001,1
73.0,177.0,37.0,52.0,0.0001,5
4879.0,262.0,15.0,332.0,1827.0,2
4.1,3.5,0.68,1.2,5.2,2
0.0001,187.0,609.0,13.0,0.0001,4
160.0,10.0,3.0,1.0,1.0,1
1309.0,124.0,113.0,6.0,0.0001,1
107.0,143.0,34.0,222.0,2.0,6
12.0,28.0,102.0,3.0,0.0001,4
8266.0,1061.0,22.0,0.0001,0.0001,1
