"h2","ch4","c2h6","c2h4","c2h2","act"
"181","262","41","28","0.001","4"
"173","334","172","812.5","37.7","6"
"127","107","11","154","224","3"
"60","40","6.9","110","70","3"
"220","340","42","480","14","6"
"170","320","53","520","3.2","6"
"27","90","42","63","0.2","5"
"56","286","96","928","7","6"
"200","48","14","117","131","3"
"78","161","86","353","10","6"
"32.4","5.5","1.4","12.6","13.2","3"
"980","73","58","12","0.001","1"
"160","130","33","96","0.001","4"
"650","53","35","20","0.001","1"
"95","110","160","50","0.001","4"
"300","490","180","360","95","5"
"200","700","250","740","1","5"
"625","130","47","2","0.0001","4"
"56","61","75","32","31","1"
