H2 percentage,CH4 percentage,C2H6 percentage,C2H4 percentage,C2H2 percentage,Centroid X,Centroid Y,Expected Region,Matched Region
109.0,16.0,0.0001,0.0001,0.0001,-0.4012620133516998,31.130373195111396,PentagonRegions.PD,PentagonRegions.PD
117.0,17.0,1.0,3.0,1.0,-0.6530856087506546,28.841755101623008,PentagonRegions.PD,PentagonRegions.PD
65.2,20.0,3.9,8.13,25.1,5.9415474068103595,18.790296989947826,PentagonRegions.D1,PentagonRegions.D1
65.5,23.3,1.0,2.1,26.0,7.477171102138091,22.590277588883335,PentagonRegions.D1,PentagonRegions.D1
78.0,20.0,11.0,13.0,28.0,4.777828398775288,21.329346625631782,PentagonRegions.D1,PentagonRegions.D1
47.5,22.9,4.5,9.6,15.3,2.1460718718567855,9.55244981664768,PentagonRegions.D1,PentagonRegions.D1
5.26,0.0001,0.0001,28.2,66.4,25.70662752069686,0.7059229385437725,PentagonRegions.D1,PentagonRegions.D1
60.0,10.0,0.0001,11.0,39.0,12.219948678604815,19.46097221439311,PentagonRegions.D1,PentagonRegions.D1
37.9,7.7,2.16,18.4,33.7,10.62458517734812,9.202097651880798,PentagonRegions.D2,PentagonRegions.D2
18.34,16.26,3.38,17.95,16.42,3.916253333920705,-1.0867085367939413,PentagonRegions.D2,PentagonRegions.D2
32.4,5.5,1.4,12.6,13.2,4.133160471826842,6.9927380133281085,PentagonRegions.D2,PentagonRegions.D2
12.4,6.5,15.3,69.0,15.0,12.131347608993472,-12.594922442940764,PentagonRegions.D2,PentagonRegions.D2
75.5,30.2,2.33,30.3,18.2,4.471622033080655,7.343682269808049,PentagonRegions.D2,PentagonRegions.D2
21.0,34.0,5.0,47.0,62.0,18.426999882512877,-5.9915991076845625,PentagonRegions.D2,PentagonRegions.D2
25.0,28.0,27.0,15.0,80.0,13.307799537694446,7.366489514786635,PentagonRegions.D2,PentagonRegions.D2
10.0,15.0,0.0001,0.0001,35.0,11.09550736175525,6.938393824497014,PentagonRegions.D2,PentagonRegions.D2
22.0,14.0,19.0,6.0,56.0,9.953126597690774,8.768156821162968,PentagonRegions.D2,PentagonRegions.D2
13.0,3.0,1.0,3.0,6.0,1.5400605660563285,3.502157224044352,PentagonRegions.D2,PentagonRegions.D2
0.0001,21.0,0.0001,0.0001,40.0,6.898780814891063,0.7521882001360124,PentagonRegions.D2,PentagonRegions.D2
7.0,15.0,78.0,58.0,0.0001,-14.903726363534936,-2.6290057860838445,PentagonRegions.T1,PentagonRegions.T1
10.0,56.0,72.0,70.0,0.0001,-16.369048004244064,-18.040086177282134,PentagonRegions.T1,PentagonRegions.T1
12.0,18.0,4.0,4.0,0.0001,-3.14366027591256,-2.787524827705641,PentagonRegions.T1,PentagonRegions.T1
143.2,123.0,38.0,75.0,0.0001,-16.610447902931227,-18.006881502767207,PentagonRegions.T1,PentagonRegions.T1
93.5,131.9,39.0,11.7,0.0001,-26.89874985359115,-9.07433082962778,PentagonRegions.T1,PentagonRegions.T1
19.0,48.0,76.0,18.0,0.0001,-27.211209134873556,-2.281864616434807,PentagonRegions.T1,PentagonRegions.T1
6.0,38.0,93.0,32.0,0.0001,-27.954862034778113,-3.551984690344182,PentagonRegions.T1,PentagonRegions.T1
6.0,3.0,0.8,0.7,0.0001,-0.44975660369057247,0.6620495749474019,PentagonRegions.T1,PentagonRegions.T1
1.0,27.0,49.0,4.0,1.0,-19.389405879844304,-2.4229606380098705,PentagonRegions.T1,PentagonRegions.T1
33.0,29.0,9.0,12.0,0.0001,-4.67344311846231,-2.322844794597379,PentagonRegions.T1,PentagonRegions.T1
181.0,162.0,70.0,132.0,0.0001,-22.435579462840007,-27.60860704447193,PentagonRegions.T1,PentagonRegions.T1
25.0,49.0,42.0,58.0,0.0001,-9.433375351084058,-14.622527104124428,PentagonRegions.T2,PentagonRegions.T2
41.0,65.0,22.0,58.0,0.0001,-6.497263455695691,-21.714795768213847,PentagonRegions.T2,PentagonRegions.T2
18.0,63.0,20.0,51.0,0.0001,-6.906336767884456,-23.729613625179976,PentagonRegions.T2,PentagonRegions.T2
23.51,61.33,45.21,98.03,1.01,-4.32469453946679,-28.12869109738646,PentagonRegions.T2,PentagonRegions.T2
24.0,34.6,14.2,21.7,0.0001,-5.669381805223199,-7.606187323245448,PentagonRegions.T2,PentagonRegions.T2
35.1,50.6,16.1,93.0,1.1,4.157583009468195,-29.96013472400768,PentagonRegions.T3,PentagonRegions.T3
30.0,25.5,31.5,93.0,1.8,3.0104263524670354,-16.07925981139911,PentagonRegions.T3,PentagonRegions.T3
8.0,1.0,0.0001,60.0,0.0001,11.559468410380545,-16.44944857739945,PentagonRegions.T3,PentagonRegions.T3
20.0,26.0,6.0,55.0,0.0001,3.9891629323704443,-18.38176443584589,PentagonRegions.T3,PentagonRegions.T3
36.0,30.0,10.0,93.0,7.1,10.232884202628647,-23.54466310210778,PentagonRegions.T3,PentagonRegions.T3
17.0,40.0,11.0,86.0,0.0001,6.237761090866336,-29.472042758397002,PentagonRegions.T3,PentagonRegions.T3
0.0001,3.4,0.0001,54.0,0.0001,9.913977921793464,-15.479137890919016,PentagonRegions.T3,PentagonRegions.T3
35.0,29.0,7.0,78.0,0.0001,7.220940909959538,-23.49665413740301,PentagonRegions.T3,PentagonRegions.T3
94.96,4.37,0.62,0.02,0.02,-0.22788176822532444,30.27063736765679,PentagonRegions.PD,PentagonRegions.PD
100.0,18.0,0.0001,0.0001,0.0001,-0.5379736383705039,27.508127140595732,PentagonRegions.PD,PentagonRegions.PD
92.8,6.75,0.44,0.0001,0.0001,-0.22913000286894314,28.757782181762646,PentagonRegions.PD,PentagonRegions.PD
102.0,6.0,6.0,7.0,10.0,1.2836233018700467,31.839111242670285,PentagonRegions.D1,PentagonRegions.D1
67.8,8.89,1.88,12.67,36.2,10.895525242444513,21.12958756056624,PentagonRegions.D1,PentagonRegions.D1
29.1,11.4,1.41,20.34,37.6,11.89565403789368,5.582262888099749,PentagonRegions.D2,PentagonRegions.D2
56.0,10.0,1.3,13.5,17.6,5.183579086154947,14.009857562514844,PentagonRegions.D2,PentagonRegions.D2
34.0,21.0,4.0,49.0,56.0,19.311589970342926,-1.040779983701688,PentagonRegions.D2,PentagonRegions.D2
0.0001,0.0001,10.0,5.0,35.0,12.075075922600009,2.2568392572756237,PentagonRegions.D2,PentagonRegions.D2
60.0,40.0,6.9,110.0,70.0,28.646358940794165,-13.584417734282813,PentagonRegions.D2,PentagonRegions.D2
57.0,15.0,3.1,23.0,25.3,7.34536105501559,11.09883074552589,PentagonRegions.D2,PentagonRegions.D2
9.0,38.0,93.0,8.0,0.0001,-33.575943718074626,0.94057251564232,PentagonRegions.T1,PentagonRegions.T1
55.0,22.0,0.5,2.6,0.0001,-2.8309163762861393,0.642888594725507,PentagonRegions.T1,PentagonRegions.T1
13.2,18.7,97.4,79.5,4.7,-15.594911249776976,-3.827811348374606,PentagonRegions.T1,PentagonRegions.T1
27.0,30.0,23.0,2.4,0.1,-10.10428314278551,1.809454873120069,PentagonRegions.T1,PentagonRegions.T1
16.4,45.5,68.7,3.8,0.0001,-27.544306529987608,-0.9944719473370214,PentagonRegions.T1,PentagonRegions.T1
37.0,47.0,10.0,5.5,0.0001,-8.27751688165856,-3.8126631690467936,PentagonRegions.T1,PentagonRegions.T1
14.0,62.0,16.0,3.0,0.0001,-14.528098068051316,-11.980618656295414,PentagonRegions.T1,PentagonRegions.T1
137.0,97.0,12.0,29.0,1.5,-11.910826867338464,-6.541844219290228,PentagonRegions.T1,PentagonRegions.T1
20.37,59.79,45.24,80.49,0.0001,-7.605047681210521,-23.997288967525964,PentagonRegions.T2,PentagonRegions.T2
19.0,47.0,27.0,62.0,0.0001,-3.9128332355573616,-19.917786745254844,PentagonRegions.T2,PentagonRegions.T2
31.0,56.0,33.0,77.0,0.0001,-4.534272687255509,-22.585781967069014,PentagonRegions.T2,PentagonRegions.T2
109.0,102.0,28.0,91.0,0.0001,-8.526871231903826,-28.553464520331172,PentagonRegions.T2,PentagonRegions.T2
20.0,41.9,20.2,44.2,0.38,-4.468679716368942,-15.165164416414084,PentagonRegions.T2,PentagonRegions.T2
27.0,90.0,42.0,63.0,0.2,-15.27275456365937,-27.76701880369949,PentagonRegions.T2,PentagonRegions.T2
160.0,130.0,33.0,96.0,0.1,-13.242764172121145,-27.010200886084153,PentagonRegions.T2,PentagonRegions.T2
1.0,8.0,8.0,100.0,6.0,18.298916688534913,-26.50850814102503,PentagonRegions.T3,PentagonRegions.T3
24.0,20.0,4.0,87.0,0.0001,11.641277272494204,-25.99084072534996,PentagonRegions.T3,PentagonRegions.T3
65.0,34.0,16.0,112.0,0.0001,8.630771107016043,-24.067675957464676,PentagonRegions.T3,PentagonRegions.T3
4.0,2.0,1.0,63.0,0.0001,11.388041318147362,-16.694987574065298,PentagonRegions.T3,PentagonRegions.T3
10.0,4.0,1.0,87.0,0.0001,15.61221036115051,-23.50689365185324,PentagonRegions.T3,PentagonRegions.T3
0.0001,10.0,17.0,68.0,5.0,9.703295252237526,-17.24693323382057,PentagonRegions.T3,PentagonRegions.T3
8.47,28.22,8.73,52.89,1.66,3.0966189180807095,-18.394383648801323,PentagonRegions.T3,PentagonRegions.T3
22.4,22.4,2.69,13.44,1.57,-1.6996612425895037,-5.431134361125427,PentagonRegions.T3,PentagonRegions.T3
78.0,20.0,11.0,13.0,28.0,4.777828398775288,21.329346625631782,PentagonRegions.D1,PentagonRegions.D1
13.0,3.0,1.0,3.0,6.0,1.5400605660563285,3.502157224044352,PentagonRegions.D2,PentagonRegions.D2
34.0,21.0,4.0,49.0,56.0,19.311589970342926,-1.040779983701688,PentagonRegions.D2,PentagonRegions.D2
1.0,8.0,8.0,100.0,6.0,18.298916688534913,-26.50850814102503,PentagonRegions.T3,PentagonRegions.T3
1.0,27.0,49.0,4.0,1.0,-19.389405879844304,-2.4229606380098705,PentagonRegions.T1,PentagonRegions.T1
27.0,30.0,23.0,2.4,0.1,-10.10428314278551,1.809454873120069,PentagonRegions.T1,PentagonRegions.T1
21.0,34.0,5.0,47.0,62.0,18.426999882512877,-5.9915991076845625,PentagonRegions.D2,PentagonRegions.D2
160.0,130.0,33.0,96.0,0.1,-13.242764172121145,-27.010200886084153,PentagonRegions.T2,PentagonRegions.T2
60.0,40.0,6.9,110.0,70.0,28.646358940794165,-13.584417734282813,PentagonRegions.D2,PentagonRegions.D2
27.0,90.0,42.0,63.0,0.2,-15.27275456365937,-27.76701880369949,PentagonRegions.T2,PentagonRegions.T2
32.4,5.5,1.4,12.6,13.2,4.133160471826842,6.9927380133281085,PentagonRegions.D2,PentagonRegions.D2
18.34,16.26,3.38,17.95,16.42,3.916253333920705,-1.0867085367939413,PentagonRegions.D2,PentagonRegions.D2
36.0,30.0,10.0,93.0,7.1,10.232884202628647,-23.54466310210778,PentagonRegions.T3,PentagonRegions.T3
1.0,27.0,49.0,4.0,1.0,-19.389405879844304,-2.4229606380098705,PentagonRegions.T1,PentagonRegions.T1
27.0,30.0,23.0,2.4,0.1,-10.10428314278551,1.809454873120069,PentagonRegions.T1,PentagonRegions.T1
21.0,34.0,5.0,47.0,62.0,18.426999882512877,-5.9915991076845625,PentagonRegions.D2,PentagonRegions.D2
160.0,130.0,33.0,96.0,0.1,-13.242764172121145,-27.010200886084153,PentagonRegions.T2,PentagonRegions.T2
60.0,40.0,6.9,110.0,70.0,28.646358940794165,-13.584417734282813,PentagonRegions.D2,PentagonRegions.D2
27.0,90.0,42.0,63.0,0.2,-15.27275456365937,-27.76701880369949,PentagonRegions.T2,PentagonRegions.T2
32.4,5.5,1.4,12.6,13.2,4.133160471826842,6.9927380133281085,PentagonRegions.D2,PentagonRegions.D2
18.34,16.26,3.38,17.95,16.42,3.916253333920705,-1.0867085367939413,PentagonRegions.D2,PentagonRegions.D2
36.0,30.0,10.0,93.0,7.1,10.232884202628647,-23.54466310210778,PentagonRegions.T3,PentagonRegions.T3
60.0,40.0,6.9,110.0,70.0,28.646358940794165,-13.584417734282813,PentagonRegions.D2,PentagonRegions.D2
32.4,5.5,1.4,12.6,13.2,4.133160471826842,6.9927380133281085,PentagonRegions.D2,PentagonRegions.D2
41.0,65.0,22.0,58.0,0.001,-6.49707136931336,-21.714529853411772,PentagonRegions.T2,PentagonRegions.T2
18.0,63.0,20.0,51.0,0.001,-6.906153125978826,-23.72941922694529,PentagonRegions.T2,PentagonRegions.T2
19.0,47.0,27.0,62.0,0.001,-3.9126281486098513,-19.917653153752518,PentagonRegions.T2,PentagonRegions.T2
20.0,19.0,45.0,77.0,0.001,-3.602423516016056,-8.738816698255437,PentagonRegions.T3,PentagonRegions.T3
25.0,49.0,42.0,58.0,0.001,-9.43315722100675,-14.622449231044689,PentagonRegions.T2,PentagonRegions.T2
7.0,15.0,78.0,58.0,0.001,-14.903159834360677,-2.6292563430048137,PentagonRegions.T1,PentagonRegions.T1
