H2 percentage,CH4 percentage,C2H6 percentage,C2H4 percentage,C2H2 percentage,Centroid X,Centroid Y,Expected Region,Matched Region
1458.0,9.0,1812.0,0.0001,0.0001,-574.4489222738645,669.649769326544,PentagonRegions.PD,
2240.0,157.0,90.0,157.0,45.0,-13.880158110733559,646.9812459841804,PentagonRegions.PD,
73.0,8.0,4.0,2.0,12.0,2.3817619392936114,23.82432410714231,PentagonRegions.PD,PentagonRegions.D1
235.0,16.0,0.0001,35.0,0.0001,3.7223275245068326,-13.745506994292967,PentagonRegions.PD,PentagonRegions.T3
9340.0,995.0,60.0,6.0,7.0,-35.35115578596691,2797.5895183698613,PentagonRegions.PD,
33046.0,619.0,58.0,2.0,0.0001,-20.68056826946063,10808.739928218169,PentagonRegions.PD,
8266.0,1061.0,22.0,0.0001,0.0001,-30.62193651943532,2411.6163369785804,PentagonRegions.PD,
230.0,15.9,16.3,1.9,2.4,-4.6087524195930465,72.98288839247135,PentagonRegions.PD,
113.0,21.0,48.0,0.0001,4.0,-14.736975911589136,35.96870989809683,PentagonRegions.PD,
1309.0,124.0,113.0,6.0,0.0001,-37.857681748434494,405.29947577248396,PentagonRegions.PD,
1549.2,10.2,0.0001,53.19,0.0001,8.41815516691619,-16.789977305334435,PentagonRegions.PD,PentagonRegions.T3
101.0,8.1,0.0001,3.0,0.0001,-0.9984050176220408,-2.9628610919125986,PentagonRegions.PD,PentagonRegions.T1
36036.0,4704.0,554.0,5.0,10.0,-278.22150508490375,10546.716437099954,PentagonRegions.PD,
160.0,10.0,3.0,1.0,1.0,-0.7492143093244402,50.215389991580984,PentagonRegions.PD,
1076.0,95.0,4.0,71.0,231.0,70.86676841086448,348.6904078441242,PentagonRegions.PD,
407.0,28.0,15.0,21.0,0.0001,-4.799460753625867,116.32026779745794,PentagonRegions.PD,
2240.0,560.0,380.0,450.0,940.0,164.8690083618902,609.1968798965065,PentagonRegions.PD,
92600.0,10200.0,1.0,2.0,0.0001,-496.5355136945354,22517.533279719362,PentagonRegions.PD,
2587.2,112.25,4.704,1.4,0.0001,-2.641816647395276,815.2967591050353,PentagonRegions.PD,
195.9,14.5,11.6,2.4,0.0001,-3.8520544290413246,60.79336968332882,PentagonRegions.PD,
180.85,0.574,0.234,0.188,0.0001,-0.07450926609531533,59.963385156721365,PentagonRegions.PD,
4480.0,560.0,380.0,403.0,896.0,155.0423787265207,1363.6158657444073,PentagonRegions.PD,
1651.0,90.0,33.0,45.0,2.0,-10.57380390632573,489.6584484149261,PentagonRegions.PD,
980.0,73.0,58.0,12.0,0.0001,-19.273590955160294,303.94157657423665,PentagonRegions.PD,
6600.0,1000.0,38.0,2.0,19.0,-25.369792436787254,1965.7694121919585,PentagonRegions.PD,
56.0,61.0,75.0,32.0,31.0,-17.939699841774345,4.052946769177152,PentagonRegions.PD,PentagonRegions.S
2240.0,168.0,25.0,0.0001,0.0001,-10.221902578526263,693.98796414736,PentagonRegions.PD,
92600.0,10200.0,0.0001,0.0001,0.0001,-198.2917568224156,27531.09555895611,PentagonRegions.PD,
24.3,15.7,6.4,11.2,29.8,6.540089124828642,5.257459771783803,PentagonRegions.PD,PentagonRegions.D2
485.0,35.0,29.0,6.0,0.0001,-9.600508016237626,150.88205017650705,PentagonRegions.PD,
109.0,4.0,11.0,9.0,0.0001,-3.38840758261226,35.02609435582434,PentagonRegions.PD,PentagonRegions.S
16000.0,4000.0,500.0,8500.0,16000.0,5141.42186609651,3729.4890440594436,PentagonRegions.PD,
2031.0,149.0,20.0,3.0,0.0001,-8.54136504626181,623.2322098491043,PentagonRegions.PD,
