h2,ch4,c2h2,c2h4,c2h6
9340.0,995.0,7.0,6.0,60.0
32.03,11.35,0.16,43.56,0.87
14.0,44.0,1.0,7.0,124.0
165.0,129.0,565.0,288.0,18.0
134.0,13.0,0.001,0.001,267.0
670.0,224.0,2.0,67.0,45.0
111.7,19.4,3.8,6.4,104.1
99.13,110.98,0.94,27.95,36.55
4.0,88.0,35.0,14.0,213.0
14.3,92.6,26.8,16.7,83.9
407.0,28.0,0.001,21.0,15.0
60.73,61.78,0.75,48.09,69.21
4480.0,560.0,896.0,403.0,380.0
310.0,230.0,760.0,610.0,54.0
167.0,293.0,106.0,600.0,0.001
20.89,70.36,0.43,13.26,20.79
24.0,20.0,0.001,87.0,4.0
85.0,308.0,18.0,578.0,95.0
605.0,1586.0,2.3,1901.0,655.0
3.0,5.0,3.0,185.0,90.0
43.94,112.67,0.67,40.83,53.92
810.0,280.0,490.0,570.0,111.0
290.0,966.0,57.0,1810.0,299.0
97.0,288.0,93.0,619.0,0.001
243.0,227.0,374.0,364.0,36.0
1549.2,10.2,0.001,53.19,0.001
122.0,161.0,0.001,35.0,271.0
73.8,148.0,1.76,181.0,38.9
152.0,116.0,414.0,131.0,7.0
67.8,8.89,36.2,12.67,1.88
101.91,18.19,0.55,21.68,31.19
34.0,8.6,0.001,3.1,70.3
28.14,123.65,0.58,25.37,12.38
92600.0,10200.0,0.001,2.0,1.0
215.0,84.8,212.0,1002.0,87.7
4127.0,267.0,2060.0,355.0,18.0
24.0,34.6,0.001,21.7,14.2
134.78,34.7,94.1,40.54,4.5
16.4,45.5,0.001,3.8,68.7
532.0,149.0,32.0,212.0,607.0
0.001,153.0,0.001,11.7,395.0
462.0,226.0,47.0,346.0,381.0
69.0,174.0,0.001,15.0,267.0
102.0,6.0,10.0,7.0,6.0
1084.0,188.0,769.0,166.0,8.0
200.0,230.0,480.0,170.0,2.0
2500.0,10500.0,6.0,13500.0,4790.0
150.0,22.0,11.0,60.0,9.0
68.2,82.16,0.9,29.88,41.42
550.0,102.0,429.0,429.0,41.0
46.0,98.0,26.3,41.3,0.001
401.0,580.0,134.0,246.0,40.0
91.3,76.09,0.88,49.33,35.28
94.76,95.09,0.7,28.94,21.72
392.0,153.0,236.0,45.0,82.0
67.92,19.66,0.36,33.18,66.2
950.0,502.0,0.001,0.001,497.0
65.82,20.33,0.99,6.8,33.77
163.0,26.0,133.0,19.0,7.0
671.0,333.0,570.0,95.0,2.0
103.0,343.0,156.0,395.0,2.0
65.2,20.0,25.1,8.13,3.9
385.0,60.0,159.0,53.0,8.0
36.0,30.0,7.1,93.0,10.0
16.0,80.0,0.001,10.0,134.0
305.0,85.0,130.0,197.0,25.0
20.0,48.0,0.001,186.0,36.0
135.88,362.42,125.22,826.65,3.74
37.33,112.74,0.37,31.76,32.75
47.0,120.0,90.0,198.0,3.0
818.0,94.0,978.0,121.0,49.0
1309.0,124.0,0.001,6.0,113.0
315.0,60.0,218.0,93.0,14.0
165.62,240.95,13.53,514.53,61.32
2091.0,149.0,0.001,3.0,20.0
70.0,4.0,34.0,0.001,91.0
900.0,9180.0,22.0,900.0,0.001
128.0,419.0,269.5,614.1,0.35
72.0,442.0,0.7,461.0,221.0
8.0,16.0,0.001,7.0,88.0
268.0,120.0,648.0,193.0,40.0
625.0,49.0,9.0,7.0,0.6
25.0,49.0,0.001,58.0,42.0
658.0,312.0,396.0,212.0,81.0
73.0,8.0,12.0,2.0,4.0
34.0,30.0,0.001,2.5,34.0
88.7,460.8,18.3,184.6,94.9
89.0,322.0,207.0,471.0,0.001
48.91,125.85,0.92,52.76,18.15
2.39,96.62,0.66,28.41,18.11
181.0,49.0,767.0,168.0,17.0
23.0,59.9,0.1,56.9,18.6
559.0,302.0,349.0,325.0,25.0
890.0,110.0,700.0,84.0,3.0
568.0,346.0,283.0,346.0,25.0
35.0,11.0,146.0,7.0,0.001
950.0,868.0,4.0,4.0,124.0
231.0,3997.0,0.001,5584.0,1726.0
34.0,174.0,0.001,361.0,52.0
505.57,475.35,3.29,524.45,242.3
84.0,6.0,86.0,14.0,1.0
3420.0,7870.0,33.0,6990.0,1500.0
531.0,111.9,169.0,122.5,22.7
0.001,116.0,0.001,0.001,70.0
995.0,564.0,336.0,100.0,0.001
19.24,105.22,0.22,29.82,19.88
535.0,160.0,680.0,305.0,16.0
475.3,195.8,221.2,187.3,32.6
30.0,51.0,0.001,54.0,12.0
22.53,88.96,0.67,30.35,55.09
13.0,59.0,0.001,44.0,117.0
6870.0,1028.0,5500.0,900.0,79.0
53.0,39.0,0.001,4.5,3.0
11.7,52.18,0.46,44.61,23.54
210.0,22.0,7.0,6.0,6.0
231.0,3997.0,0.001,5584.0,1726.0
160.0,130.0,0.001,96.0,33.0
31.0,6.6,67.0,4.7,19.0
558.0,281.0,441.0,254.0,24.0
24700.0,61000.0,1560.0,42100.0,26300.0
135.65,278.53,58.86,492.0,2.95
109.0,16.0,0.001,0.001,0.001
10.0,56.0,0.001,70.0,72.0
195.9,14.5,0.001,2.4,11.6
402.0,204.0,28.0,359.0,409.0
836.0,453.0,181.0,364.0,2.0
3675.0,6392.0,5.0,7691.0,2500.0
116.0,20.0,54.0,27.0,7.0
68.0,78.0,0.001,136.0,103.0
120.45,210.91,15.86,285.39,35.7
625.0,49.0,0.6,7.0,9.0
60.0,85.0,227.0,67.0,5.0
533.0,350.0,68.0,142.0,439.0
101.72,27.65,7.13,16.92,53.87
185.0,302.0,0.001,33.0,27.0
205.0,20.0,6.0,0.001,8.0
74.11,51.13,0.54,3.23,11.69
62.55,54.65,0.03,33.0,28.83
179.0,315.0,100.0,578.0,7.0
200.0,230.0,480.0,170.0,2.0
3420.0,7870.0,33.0,6990.0,1500.0
110.0,62.0,250.0,140.0,90.0
485.0,35.0,0.001,6.0,29.0
